City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
334,Ushtobe,KZ,45.2514,77.9838,70.68,51,99,13.89,overcast clouds
335,Cabadiangan,PH,9.7531,122.4739,79.43,82,90,3.65,overcast clouds
336,Skjervoy,NO,70.0311,20.9714,48.2,87,88,4.16,overcast clouds
337,Iranshahr,IR,27.2025,60.6848,93.33,14,0,5.55,clear sky
338,Neiafu,TO,-18.65,-173.9833,68.68,100,20,0.0,few clouds
339,Tinskoy,RU,56.1525,96.9161,53.01,59,98,4.9,overcast clouds
340,Ngunguru,NZ,-35.6167,174.5,57.42,82,11,10.74,few clouds
341,Naze,JP,28.3667,129.4833,67.33,85,54,8.25,broken clouds
342,Bairiki,KI,1.3292,172.9752,80.6,83,40,8.05,moderate rain
343,Karjat,IN,18.9167,73.3333,81.54,77,16,6.4,few clouds
344,Portland,US,45.5234,-122.6762,64.53,63,20,11.5,few clouds
